league,season,position,team,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2021,5,Atletico Madrid,Atletico Madrid,38,21.0,8.0,9.0,65.0,43.0,71.0,59.446593,-5.553407,55.730202999999996,35.767932,-7.232067999999998,29.821710999999997,25.908492,11.667049525675106,11.896791567797981,265.0,135.0,69.0085,-1.991500000000002
La_liga,2021,6,Rayo Vallecano,Rayo Vallecano,38,11.0,9.0,18.0,39.0,50.0,42.0,47.029672000000005,8.029672000000005,44.056572,52.153276000000005,2.1532760000000053,45.463909,-1.4073369999999998,9.094864617300667,8.944281045708175,158.0,210.0,50.4627,8.462699999999998
La_liga,2021,7,Valencia,Valencia,38,11.0,15.0,12.0,48.0,53.0,48.0,42.284833,-5.715167000000001,35.495125,52.236292999999996,-0.7637070000000037,46.157123,-10.661997999999997,8.887406365555414,6.7237407477011315,185.0,203.0,46.2825,-1.7175000000000011
La_liga,2021,8,Athletic Club,Athletic Club,38,14.0,13.0,11.0,43.0,36.0,55.0,57.013894,14.013894,51.649441,39.289860000000004,3.2898600000000044,37.060023,14.589417999999998,10.288892375811423,10.72151003705556,231.0,178.0,62.794000000000004,7.794000000000004
La_liga,2021,9,Barcelona,Barcelona,38,21.0,10.0,7.0,68.0,38.0,73.0,70.541761,2.541760999999994,65.338828,35.079571,-2.9204289999999986,32.849740000000004,32.489088,8.182813964873112,17.164770709872503,317.0,161.0,73.60179999999998,0.601799999999983
La_liga,2021,10,Real Madrid,Real Madrid,38,26.0,8.0,4.0,80.0,31.0,86.0,80.21800800000001,0.21800800000001175,71.298797,45.78179899999999,14.781798999999992,41.965216,29.333580999999995,12.692565623081705,15.87634761754854,465.0,211.0,73.58789999999999,-12.41210000000001
La_liga,2021,11,Levante,Levante,38,8.0,11.0,19.0,51.0,76.0,35.0,57.56398300000001,6.5639830000000075,47.768416,62.609449999999995,-13.390550000000005,58.149781000000004,-10.381365000000002,10.609960861144293,11.231755532111384,185.0,241.0,52.72670000000001,17.726700000000008
La_liga,2021,12,Celta Vigo,Celta Vigo,38,12.0,10.0,16.0,43.0,43.0,46.0,44.937715,1.9377149999999972,40.22847699999999,46.117110999999994,3.117110999999994,40.074859000000004,0.15361799999999914,7.9887473716132975,12.315374596170479,230.0,196.0,51.22999999999999,5.22999999999999
La_liga,2021,13,Real Betis,Real Betis,38,19.0,8.0,11.0,62.0,40.0,65.0,55.903767,-6.096232999999998,51.444121,46.788700999999996,6.788700999999996,44.558861,6.885260000000001,10.078194524167623,12.452930629876144,273.0,191.0,56.4939,-8.506100000000004
La_liga,2021,14,Villarreal,Villarreal,38,16.0,11.0,11.0,63.0,37.0,59.0,70.332283,7.332283000000004,65.87274300000001,47.89268300000001,10.892683000000012,44.176305000000006,21.696437999999997,10.349403531626002,11.552534864187637,324.0,165.0,63.853199999999994,4.853199999999994
La_liga,2021,15,Granada,Granada,38,8.0,14.0,16.0,44.0,61.0,38.0,41.2981724,-2.7018276000000014,37.581782399999994,66.09363199999999,5.093631999999985,59.404264000000005,-21.8224816,11.495121140048166,8.771950023680494,141.0,279.0,37.2393,-0.7606999999999999
La_liga,2021,16,Osasuna,Osasuna,38,12.0,11.0,15.0,37.0,51.0,47.0,42.02689599999999,5.0268959999999865,36.080671,50.591871999999995,-0.40812800000000493,45.385417,-9.304746,10.510446002777979,11.134845677944709,174.0,233.0,48.988600000000005,1.9886000000000053
La_liga,2021,17,Alaves,Alaves,38,8.0,7.0,23.0,31.0,65.0,31.0,38.464942,7.464942000000001,33.261998,63.56927900000001,-1.4307209999999912,56.630093,-23.368094999999997,12.69741286358837,8.144128510606507,131.0,283.0,37.60229999999999,6.6022999999999925
